id_tipo_bebida;Categoría;Bebida;Tamaño;Leche;Calorías;GrasaTotal;GrasaTrans;GrasaSaturada;Sodio;CarbohidratosTotales;Colesterol;FibraDietética;Azúcares;Proteína
1;Café;Café Filtrado;Corto;Ninguna;3;1;0;0;0;5;0;0;0;3
2;Café;Café Filtrado;Alto;Ninguna;4;1;0;0;0;10;0;0;0;5
3;Café;Café Filtrado;Grande;Ninguna;5;1;0;0;0;10;0;0;0;10
4;Café;Café Filtrado;Venti;Ninguna;5;1;0;0;0;10;0;0;0;10
5;Bebidas Espresso Clásicas;Café Latte;Corto;Leche Descremada;70;1;1;0;5;75;10;0;9;60
6;Bebidas Espresso Clásicas;Café Latte;Corto;Leche 2%;100;35;20;1;15;85;10;0;9;60
7;Bebidas Espresso Clásicas;Café Latte;Corto;Leche de Soya;70;25;4;0;0;65;6;1;4;50
8;Bebidas Espresso Clásicas;Café Latte;Alto;Leche Descremada;100;2;2;0;5;120;15;0;14;100
9;Bebidas Espresso Clásicas;Café Latte;Alto;Leche 2%;150;60;30;2;25;135;15;0;14;100
10;Bebidas Espresso Clásicas;Café Latte;Alto;Leche de Soya;110;45;5;0;0;105;10;1;6;80
11;Bebidas Espresso Clásicas;Café Latte;Grande;Leche Descremada;130;3;2;0;5;150;19;0;18;130
12;Bebidas Espresso Clásicas;Café Latte;Grande;Leche 2%;190;70;35;2;30;170;19;0;17;120
13;Bebidas Espresso Clásicas;Café Latte;Grande;Leche de Soya;150;50;5;0;0;130;13;1;8;100
14;Bebidas Espresso Clásicas;Café Latte;Venti;Leche Descremada;170;4;3;0;10;190;25;0;23;160
15;Bebidas Espresso Clásicas;Café Latte;Venti;Leche 2%;240;90;45;3;35;220;24;0;22;160
16;Bebidas Espresso Clásicas;Café Latte;Venti;Leche de Soya;190;70;10;0;0;170;16;2;11;130
17;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Corto;Leche Descremada;110;15;10;0;5;60;21;1;17;70
18;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Corto;Leche 2%;130;40;20;1;10;70;21;1;17;60
19;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Corto;Leche de Soya;110;35;10;0;0;55;19;2;13;60
20;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Alto;Leche Descremada;170;20;10;0;5;100;32;1;27;100
21;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Alto;Leche 2%;200;60;35;1;20;115;32;1;26;100
22;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Alto;Leche de Soya;180;50;15;0;0;85;28;2;20;90
23;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Grande;Leche Descremada;220;25;15;0;5;125;43;2;34;130
24;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Grande;Leche 2%;260;80;45;2;25;140;42;2;34;130
25;Bebidas Espresso Clásicas;Caffe Mocha (Without Whipped Cream);Grande;Leche de Soya;230;70;20;0;0;105;37;3;26;110
